Vergleich,Acc A,Acc B,Delta,Chi²,p-value,Signifikant,Interpretation
WideResNet vs Basis CNN,0.7332,0.9022,+16.90%,1271.27,0.000000,✅ Ja,WideResNet sign. besser
WideResNet vs Bonus CNN 50k,0.8412,0.9022,+6.10%,317.54,0.000000,✅ Ja,WideResNet sign. besser
